activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	11	1145454.54545	786363.636364
Transport, storage and Communications	28	4014285.71429	1415142.85714
Business Services	25	24832000.0	20643616.0
Mining & Quarrying	2	1000000.0	125000.0
Electricity, Gas & Water companies	2	1000000.0	550000.0
Manufacturing (Food stuffs)	5	620000.0	280000.0
Construction	37	1632432.43243	1110675.67568
Trading	51	3076470.58824	1460919.19608
Manufacturing (Wood Products)	1	1000000.0	100000.0
Manufacturing (Paper & Paper products, Publiclishing, printing and reproduction of recorded media)	1	1000000.0	100000.0
Manufacturing (Metals & Chemicals, and products thereof)	1	1000000.0	630000.0
Agriculture and Allied Activities	13	8030769.23077	4033769.23077
Community, personal & Social Services	19	1094736.84211	262394.736842
Finance	4	10050000.0	6550425.0
