activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Textiles)	421	54262779.0974	43432088.0356
Real Estate and Renting	663	9079004.52489	5041827.37104
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	221	17184217.1946	13172272.1493
Transport, storage and Communications	512	14439220.7031	8449378.73438
Business Services	2872	48818478.7601	14591095.9844
Mining & Quarrying	377	84378594.1645	66194622.557
NA	122	305376229.508	24711356.5164
Electricity, Gas & Water companies	571	286215210.156	94072459.8231
Manufacturing (Food stuffs)	617	42014846.4344	34465862.1686
Manufacturing (Others)	69	12356086.9565	9348001.44928
Manufacturing (Machinery & Equipments)	442	118640979.638	63859544.9955
Construction	1626	79244404.6064	36025337.5431
Trading	922	16183394.7939	11957512.0824
Manufacturing (Wood Products)	34	9229411.76471	3984733.23529
Manufacturing (Leather & products thereof)	19	90042105.2632	72886846.3158
Manufacturing (Metals & Chemicals, and products thereof)	1110	175457252.163	125468158.463
Agriculture and Allied Activities	1217	14503085.456	8265119.79047
Community, personal & Social Services	804	19422625.8333	12031741.842
Insurance	13	389407692.308	272268269.231
Finance	765	24892827.451	17733937.1908
