activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	9	15644444.4444	12083722.2222
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	3	533333.333333	400000.0
Transport, storage and Communications	1	1000000.0	600000.0
Business Services	10	2530000.0	1726000.0
Mining & Quarrying	9	17333333.3333	401000.0
Electricity, Gas & Water companies	14	626250000.0	47745310.0
Manufacturing (Food stuffs)	13	29576923.0769	19866338.4615
Manufacturing (Machinery & Equipments)	2	550000.0	100000.0
Construction	33	11151515.1515	7921666.66667
Trading	15	19440000.0	6544180.0
Manufacturing (Wood Products)	25	8700000.0	4733468.0
Manufacturing (Metals & Chemicals, and products thereof)	9	78944444.4444	68984887.7778
Agriculture and Allied Activities	36	2987500.0	1919235.27778
Community, personal & Social Services	2	300000.0	100000.0
Finance	2	30250000.0	10775100.0
