activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	12	3200000.0	2006241.66667
Real Estate and Renting	454	2636153.0837	1157768.67841
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	125	11300144.0	8772185.08
Transport, storage and Communications	322	6229549.68944	4036919.09938
Business Services	2481	1234936.316	629107.604595
Mining & Quarrying	40	5270000.0	3343765.0
NA	690	6182318.84058	4458678.65594
Electricity, Gas & Water companies	78	518016025.641	19475384.6154
Manufacturing (Food stuffs)	931	7345158.96885	4672596.43716
Manufacturing (Others)	48	3225000.0	1455360.41667
Manufacturing (Machinery & Equipments)	216	145417870.37	4456696.57407
Construction	3376	2398889.21801	1336692.28377
Trading	1342	4252242.92101	2897444.07004
Manufacturing (Wood Products)	18	5066666.66667	4242272.22222
Manufacturing (Textiles)	58	4905172.41379	2465944.31034
Manufacturing (Metals & Chemicals, and products thereof)	695	19805900.7194	16457489.3612
Agriculture and Allied Activities	410	5980921.95122	2511804.60244
Community, personal & Social Services	1091	2702709.44088	1463494.67369
Insurance	11	336363.636364	243945.454545
Finance	255	8297062.7451	5883220.15686
