activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	15	10240000.0	8716224.0
Real Estate and Renting	680	7491544.11765	4858956.29412
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	103	7390485.43689	5661890.09709
Finance	325	21927307.6923	15899233.6
Business Services	1840	6583701.90217	4116059.2534
Mining & Quarrying	8	4662500.0	662500.0
Manufacturing (Textiles)	104	43157692.3077	32079910.3365
Electricity, Gas & Water companies	100	17313000.0	13945372.0
Manufacturing (Food stuffs)	238	30672373.9496	22930949.2857
Manufacturing (Others)	46	5050000.0	2918555.43478
Manufacturing (Machinery & Equipments)	399	14206987.4687	9614488.03258
Construction	561	7805356.50624	4946569.86096
Trading	1057	11037438.5052	8341307.11447
Manufacturing (Wood Products)	19	12757894.7368	11200842.1053
NA	191	29555759.1623	23735733.1937
Manufacturing (Metals & Chemicals, and products thereof)	775	20454716.129	14789745.73
Agriculture and Allied Activities	123	9950406.50407	4750049.28455
Community, personal & Social Services	588	4912945.57823	3403374.08163
Insurance	4	5375000.0	4665000.0
Transport, storage and Communications	269	60813197.026	9544025.50186
