activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	2	16025000.0	12156500.0
Real Estate and Renting	561	8566488.41355	5147155.61497
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	84	9228571.42857	3857533.57143
Finance	137	764121605.839	442333050.0
Business Services	582	2011082.47423	1275233.69416
Mining & Quarrying	251	77191633.4661	28623368.2072
NA	280	140882607.143	71815424.1429
Electricity, Gas & Water companies	143	926812307.692	392689431.888
Manufacturing (Food stuffs)	287	11701219.5122	6698872.07317
Manufacturing (Others)	34	12550000.0	8902311.76471
Manufacturing (Machinery & Equipments)	193	6837305.69948	3867728.80829
Construction	790	7893544.3038	5178471.89873
Trading	844	5879413.50711	3444129.72275
Manufacturing (Wood Products)	25	5739200.0	4644654.8
Manufacturing (Textiles)	37	26640540.5405	23749988.1081
Manufacturing (Metals & Chemicals, and products thereof)	1047	30903624.6418	23344313.3429
Agriculture and Allied Activities	342	81703830.4094	26055436.0526
Community, personal & Social Services	390	6603669.23077	3683567.51282
Insurance	4	300000.0	175000.0
Transport, storage and Communications	179	5306424.58101	3256228.71508
