activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	17322	12434182.179	7758314.16926
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	3112	18642822.9434	7246524.33805
Transport, storage and Communications	7237	92033783.8499	56012181.4328
Business Services	71280	43348474.812	25647041.8619
Mining & Quarrying	881	56656223.6095	26389014.3235
Manufacturing (Textiles)	5490	7714867.21676	4856449.93536
Electricity, Gas & Water companies	2104	478096035.813	268818546.343
Manufacturing (Food stuffs)	3312	30818455.7971	21479147.7818
NA	2987	52994364.2451	12708964.4489
Manufacturing (Others)	1696	10601111.4387	7594778.977
Manufacturing (Machinery & Equipments)	8853	42907695.7811	22542109.9859
Construction	19968	55494999.3645	19303675.478
Trading	22745	22531203.3119	11914819.1841
Manufacturing (Wood Products)	408	11317330.8824	7746815.61275
Manufacturing (Leather & products thereof)	647	16496947.4529	13680105.3323
Manufacturing (Metals & Chemicals, and products thereof)	9738	36996010.6798	26476715.761
Agriculture and Allied Activities	1797	19844504.7301	14137732.2382
Community, personal & Social Services	11952	11962105.6523	7349627.65495
Insurance	135	560820000.0	317633901.111
Finance	5387	82157166.0126	43114652.0733
