activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	6	9751666.66667	2173621.66667
Real Estate and Renting	450	6130777.77778	4131089.91111
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	58	3832758.62069	2211308.27586
Transport, storage and Communications	301	36737302.3256	4850573.63787
Business Services	654	5994720.18349	2341357.737
Mining & Quarrying	153	343917712.418	25032824.7451
NA	104	2204807.69231	1391656.73077
Electricity, Gas & Water companies	41	21604878.0488	19842060.7317
Manufacturing (Food stuffs)	133	15054135.3383	12590314.9624
Manufacturing (Others)	45	1917777.77778	3074588.88889
Manufacturing (Machinery & Equipments)	290	30829901.3103	17840781.1034
Construction	229	15015720.524	11050383.8865
Trading	1501	10029031.2458	5265665.58428
Manufacturing (Wood Products)	7	757142.857143	460985.714286
Manufacturing (Textiles)	40	7838000.0	5277056.23875
Manufacturing (Metals & Chemicals, and products thereof)	282	42543617.0213	26778731.0638
Agriculture and Allied Activities	130	10981930.7692	8534925.07692
Community, personal & Social Services	304	7965148.02632	5041643.78289
Insurance	1	30000000.0	27500000.0
Finance	124	44320161.2903	23950046.2258
