activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	42	12936904.7619	10319971.1905
Real Estate and Renting	945	5581757.77778	3762720.6582
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	691	28613567.2938	15660780.8104
Transport, storage and Communications	1551	241508140.554	57441760.6912
Business Services	7304	20576507.2674	7829363.99532
Mining & Quarrying	454	148308149.78	51284347.7093
Manufacturing (Textiles)	4836	18440145.3681	12000081.6712
Electricity, Gas & Water companies	671	1376128330.85	655321628.203
Manufacturing (Food stuffs)	1404	16738415.2422	10980544.8675
Manufacturing (Others)	1249	13531171.3371	8579458.59087
Manufacturing (Machinery & Equipments)	4687	98428086.7933	39994032.5547
Construction	5464	120177558.483	88219166.2126
Trading	6681	9639013.32121	6603811.0937
Manufacturing (Wood Products)	286	11101041.958	8571402.65734
NA	610	260908295.082	96015543.3164
Manufacturing (Metals & Chemicals, and products thereof)	8783	51133508.2435	27382865.8244
Agriculture and Allied Activities	1274	6346060.43956	4765346.927
Community, personal & Social Services	2610	16673631.9923	8555029.21226
Insurance	28	3496428.57143	2391414.28571
Finance	2980	51000176.3423	30257760.3305
