activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	2065	23427634.3826	7665276.73898
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	244	15700163.9344	8992446.14754
Finance	845	85104396.4497	36790101.3053
Business Services	6247	19025058.8298	12503735.0916
Mining & Quarrying	104	27043903.8462	20694188.5577
Manufacturing (Textiles)	612	13472957.5163	8790942.19281
Electricity, Gas & Water companies	289	966915086.505	631335619.066
Manufacturing (Food stuffs)	543	112225138.158	94491749.4107
NA	362	74948243.0939	53254029.326
Manufacturing (Others)	157	19209585.9873	16654233.121
Manufacturing (Machinery & Equipments)	1403	95427000.1996	70139093.779
Construction	1591	98110236.3294	58503623.4098
Trading	2399	22814127.5531	16516724.0738
Manufacturing (Wood Products)	95	10035263.1579	7784525.89474
Manufacturing (Leather & products thereof)	46	28628260.8696	10926391.7391
Manufacturing (Metals & Chemicals, and products thereof)	1445	44162349.4256	27804667.8713
Agriculture and Allied Activities	458	11140722.7074	8352236.55022
Community, personal & Social Services	1602	13593982.5218	9222514.71901
Insurance	11	1866090909.09	375459380.0
Transport, storage and Communications	667	48646025.4873	38362364.4228
