activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	33	7090909.09091	4083763.63636
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	37	2172972.97297	888967.567568
Finance	109	28230825.6881	17472601.2844
Business Services	582	1831486.2543	1261537.00344
Mining & Quarrying	13	61546153.8462	9135104.61538
Manufacturing (Textiles)	63	11098412.6984	7847877.77778
Electricity, Gas & Water companies	61	925888524.59	45963345.9016
Manufacturing (Food stuffs)	125	7652000.0	5039312.96
NA	13	5053846.15385	4182623.07692
Manufacturing (Others)	17	1788235.29412	1457347.05882
Manufacturing (Machinery & Equipments)	52	6623076.92308	4271538.46154
Construction	317	4003154.57413	2107797.16088
Trading	336	7706250.0	4541268.96429
Manufacturing (Wood Products)	5	3760000.0	1810120.0
Manufacturing (Leather & products thereof)	4	5775000.0	4161925.0
Manufacturing (Metals & Chemicals, and products thereof)	180	12561222.2222	7356408.77778
Agriculture and Allied Activities	56	9801785.71429	4502722.85714
Community, personal & Social Services	175	4796005.71429	3733594.4
Insurance	2	3050000.0	2650000.0
Transport, storage and Communications	138	2993260.86957	2037542.75362
