activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	6	4733333.33333	1287083.33333
Real Estate and Renting	359	5124902.50696	2224582.28412
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	53	5628301.88679	4308232.64151
Transport, storage and Communications	133	3856390.97744	2070780.22556
Business Services	1102	4354896.55172	2028234.82759
Mining & Quarrying	159	562845283.019	451133981.226
NA	287	9068118.4669	5818570.34843
Electricity, Gas & Water companies	50	722422000.0	3731317.5
Manufacturing (Food stuffs)	199	9910552.76382	6830873.56784
Manufacturing (Others)	31	5203225.80645	3861119.35484
Manufacturing (Machinery & Equipments)	194	26191391.7526	19662531.9588
Construction	1708	6392883.48946	3630605.65281
Trading	779	6305373.55584	3763813.78691
Manufacturing (Wood Products)	7	3785714.28571	2623571.42857
Manufacturing (Textiles)	34	11867647.0588	8943671.47059
Manufacturing (Metals & Chemicals, and products thereof)	592	156944020.27	76162282.6383
Agriculture and Allied Activities	147	4182312.92517	1896977.27891
Community, personal & Social Services	351	3638632.47863	1442093.80812
Insurance	8	2275000.0	1662500.0
Finance	231	4023030.30303	2609683.72294
