activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	65	12380000.0	10012583.1077
Real Estate and Renting	2115	33812030.2355	15674304.0013
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	554	27994882.852	16759008.0957
Finance	2147	26250224.0335	19381224.7982
Business Services	19113	9813650.31887	6137344.74349
Mining & Quarrying	734	24141955.0409	16497275.9264
NA	959	304287059.696	94253146.2841
Electricity, Gas & Water companies	1077	202490688.254	155677603.42
Manufacturing (Food stuffs)	1072	35035895.1866	23229667.7724
Manufacturing (Others)	423	32831205.6738	6950660.25532
Manufacturing (Machinery & Equipments)	3550	63564043.1831	42793255.6375
Construction	3720	36655028.8788	25676691.1712
Trading	4278	28441613.2232	19743863.6723
Manufacturing (Wood Products)	107	35921308.4112	30903685.2336
Manufacturing (Textiles)	912	19460963.6294	13818786.7851
Manufacturing (Metals & Chemicals, and products thereof)	2872	35800919.2758	26237486.5751
Agriculture and Allied Activities	1118	18263528.6225	11158997.6735
Community, personal & Social Services	7335	105106718.339	70060416.2379
Insurance	46	1401191304.35	1081566905.43
Transport, storage and Communications	1564	26281934.3213	14272385.7669
