activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	89	6607303.37079	5263798.53933
Real Estate and Renting	1276	14074447.4922	7857752.49248
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	333	12301186.1862	9647416.16517
Finance	2876	23362487.9694	12263288.8665
Business Services	5437	5631599.18705	3635719.6385
Mining & Quarrying	475	8007252.63158	4706063.49474
Manufacturing (Textiles)	204	16996205.8824	12754043.2353
Electricity, Gas & Water companies	152	372073684.539	245160235.395
Manufacturing (Food stuffs)	706	16398328.6119	11645652.7564
Manufacturing (Others)	289	71404948.4429	63149852.4567
Manufacturing (Machinery & Equipments)	769	15279330.6892	10042981.277
Construction	2076	12624785.2697	6782453.81021
Trading	4448	13418542.7203	9429452.01731
Manufacturing (Wood Products)	86	13159302.3256	8517884.06977
NA	1	10000000.0	100000.0
Manufacturing (Metals & Chemicals, and products thereof)	1557	28171679.5119	19058388.9762
Agriculture and Allied Activities	922	7036478.74187	3108019.76051
Community, personal & Social Services	1908	22939184.4864	16832289.8139
Insurance	11	17381818.1818	13767888.1818
Transport, storage and Communications	1220	39529799.1721	18294135.15
