activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Food stuffs)	985	18761989.8477	13110052.5848
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	374	8520842.24599	6556800.78877
Finance	830	10983762.1988	7102726.57229
Business Services	3045	2401285.71757	1072595.42397
Mining & Quarrying	376	237879368.883	56799553.3511
Manufacturing (Textiles)	388	17956701.0309	13194420.6443
Electricity, Gas & Water companies	320	1329148250.0	789957990.125
Manufacturing (Leather & products thereof)	22	19536363.6364	9213504.54545
Transport, storage and Communications	593	5153465.43002	3329254.24958
Manufacturing (Others)	100	6158500.0	4909783.1
Manufacturing (Machinery & Equipments)	847	47046103.8961	30902068.3909
Construction	2841	9584725.35023	7094952.654
Trading	2766	4042915.80622	2447968.64073
Manufacturing (Wood Products)	21	4419047.61905	3134007.14286
NA	778	25351401.0283	18377084.1105
Manufacturing (Metals & Chemicals, and products thereof)	2214	8982511.59892	5678090.00316
Agriculture and Allied Activities	982	5043023.62525	3385434.37882
Community, personal & Social Services	1310	4771965.9542	3023789.63826
Insurance	15	1353333.33333	681540.0
Real Estate and Renting	1946	4761496.40288	3398055.35457
