activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Textiles)	6547	28651118.801	16856902.3591
Real Estate and Renting	11055	18310449.7408	10685331.201
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	3144	20057324.6756	12816680.0289
Transport, storage and Communications	7337	57339895.9684	25572042.1799
Business Services	50592	39459326.7242	18931111.7685
Mining & Quarrying	1442	84034254.0222	40903488.2878
NA	14278	53140444.1402	18115303.9966
Electricity, Gas & Water companies	1942	878471707.518	269975840.417
Manufacturing (Food stuffs)	4919	25750892.8644	15300984.8244
Manufacturing (Others)	2588	33099964.4513	22088982.9764
Manufacturing (Machinery & Equipments)	13382	56755775.166	33929814.0516
Construction	20797	39255803.7299	24688942.6572
Trading	24715	30272685.6808	14449197.5963
Manufacturing (Wood Products)	349	8213922.6361	5226343.29513
Manufacturing (Leather & products thereof)	262	23518893.1298	16183892.0687
Manufacturing (Metals & Chemicals, and products thereof)	19519	63828004.8746	28044336.7612
Agriculture and Allied Activities	5523	36136149.5564	14319727.6128
Community, personal & Social Services	12923	22260232.8326	12048884.0885
Insurance	216	1145772870.37	727628641.019
Finance	13917	133298721.861	52885065.232
