activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	4	10025000.0	1375000.0
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	2	5000000.0	650000.0
Transport, storage and Communications	10	10650000.0	4443200.0
Business Services	28	900000.0	541071.428571
Mining & Quarrying	1	7500000.0	6825000.0
Manufacturing (Textiles)	3	3833333.33333	2332800.0
Electricity, Gas & Water companies	6	441916666.667	230037181.667
Manufacturing (Food stuffs)	8	7062500.0	4136585.875
Manufacturing (Machinery & Equipments)	1	100000.0	100000.0
Construction	25	6952000.0	2213040.0
Trading	51	7829411.76471	4191162.7451
Manufacturing (Wood Products)	2	5500000.0	5080000.0
NA	3	37633333.3333	37267500.0
Manufacturing (Metals & Chemicals, and products thereof)	6	17200000.0	3510666.66667
Agriculture and Allied Activities	8	16125000.0	5905600.0
Community, personal & Social Services	22	11740909.0909	6392768.18182
Finance	9	115222222.222	86069822.2222
