activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	11	7863636.36364	6407245.45455
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	7	23357142.8571	14553571.4286
Transport, storage and Communications	15	52506666.6667	48888878.6667
Business Services	33	1651515.15152	958014.242424
Mining & Quarrying	69	12898550.7246	9366404.92754
Manufacturing (Textiles)	2	4750000.0	3579275.0
Electricity, Gas & Water companies	18	4638888888.89	2354136376.67
Manufacturing (Food stuffs)	36	6377777.77778	4023840.27778
Manufacturing (Others)	4	9500000.0	8803600.0
Manufacturing (Machinery & Equipments)	6	18033333.3333	1591666.66667
Construction	25	44400000.0	36364508.0
Trading	62	27222580.6452	23482171.2903
Manufacturing (Wood Products)	19	4789473.68421	3087178.94737
NA	1	2500000.0	784000.0
Manufacturing (Metals & Chemicals, and products thereof)	174	49723678.1609	40985258.3908
Agriculture and Allied Activities	16	52489062.5	28174716.25
Community, personal & Social Services	27	84866666.6667	37535170.3704
Finance	8	15250000.0	5742728.75
