activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	1	1000000.0	100000.0
Transport, storage and Communications	1	2000000.0	100000.0
Business Services	1	100000.0	100000.0
Mining & Quarrying	1	250000000.0	1500000.0
Manufacturing (Textiles)	1	1000000.0	100000.0
Electricity, Gas & Water companies	2	130000000.0	1250000.0
Manufacturing (Food stuffs)	2	110000000.0	99915450.0
Construction	6	13166666.6667	11548333.3333
Trading	4	2800000.0	200000.0
Manufacturing (Wood Products)	2	1000000.0	748050.0
Agriculture and Allied Activities	1	50000000.0	38825000.0
Community, personal & Social Services	3	87500000.0	71996956.6667
Finance	4	55125000.0	32000000.0
