activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	3	7666666.66667	5716666.66667
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	2	755000000.0	333200350.0
Transport, storage and Communications	5	14500000.0	6122400.0
Business Services	18	4977777.77778	1848333.33333
Mining & Quarrying	5	12800000.0	3786080.0
Manufacturing (Textiles)	2	3000000.0	2532500.0
Electricity, Gas & Water companies	18	1355555.55556	438888.888889
Manufacturing (Food stuffs)	8	42950000.0	11822468.75
Manufacturing (Others)	1	100000.0	100000.0
Manufacturing (Machinery & Equipments)	3	10333333.3333	7916666.66667
Construction	14	37342857.1429	21502348.5714
Trading	22	6804545.45455	2499454.54545
Manufacturing (Wood Products)	17	29064705.8824	27695435.2941
Manufacturing (Metals & Chemicals, and products thereof)	7	18000000.0	6295797.14286
Agriculture and Allied Activities	14	6264285.71429	1858037.5
Community, personal & Social Services	8	39137500.0	24650225.0
Finance	4	20625000.0	18488250.0
