activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	7	4171428.57143	1544285.71429
Real Estate and Renting	976	3347397.54098	1815775.55328
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	164	51088414.6341	39559148.1098
Finance	266	40855827.0677	16294208.0075
Business Services	1975	2000961.62532	1118357.88759
Mining & Quarrying	438	136602557.078	111196929.311
NA	62	30878225.8065	12997314.3548
Electricity, Gas & Water companies	155	421277419.355	169906850.258
Manufacturing (Food stuffs)	649	9400578.58243	6434460.5131
Manufacturing (Others)	47	432063829.787	12517210.4255
Manufacturing (Machinery & Equipments)	267	9384831.46067	6354136.81648
Construction	2310	22447567.0996	14963407.3502
Trading	1660	7101234.93976	4105979.66867
Manufacturing (Wood Products)	20	2490000.0	1434075.0
Manufacturing (Textiles)	94	10817021.2766	8369895.42553
Manufacturing (Metals & Chemicals, and products thereof)	1329	124368524.345	51076159.6208
Agriculture and Allied Activities	558	9247177.41935	5458502.73118
Community, personal & Social Services	596	4315456.37584	2696907.37584
Insurance	2	300000.0	255000.0
Transport, storage and Communications	414	24587077.2947	8419814.2029
