activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	28	3.01027132872e-317	2.56387610079e-317
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	36	7.20306555968e-317	5.21715288612e-317
Transport, storage and Communications	38	4.90620180247e-317	4.74084297146e-317
Business Services	389	1.27714042594e-317	8.06815622512e-318
Mining & Quarrying	10	4.31319308819e-317	3.69202905496e-317
Manufacturing (Textiles)	30	7.01194431786e-316	6.69240711438e-316
Electricity, Gas & Water companies	21	4.061925431e-316	3.11041749641e-316
Manufacturing (Food stuffs)	57	1.42905800342e-316	1.10511887267e-316
NA	14	4.02663501361e-317	3.58717053855e-317
Manufacturing (Others)	16	6.68223786e-317	4.49457693842e-317
Manufacturing (Machinery & Equipments)	91	9.29657831992e-317	7.11106312544e-317
Construction	92	7.71142491991e-316	4.19115126506e-316
Trading	165	4.56766703381e-317	3.49053228635e-317
Manufacturing (Wood Products)	7	1.60289010966e-316	1.4951358251e-316
Manufacturing (Leather & products thereof)	17	3.42837961861e-316	3.31992227863e-316
Manufacturing (Metals & Chemicals, and products thereof)	185	6.66333787279e-317	5.42535659587e-317
Agriculture and Allied Activities	26	3.57627540293e-317	2.80802456847e-317
Community, personal & Social Services	85	5.68989268243e-317	4.13199747698e-317
Finance	46	9.34858119947e-317	7.31070912414e-317
