activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Food stuffs)	806	28989640.1861	19669038.227
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	247	21976477.7328	18340715.3441
Transport, storage and Communications	580	28708917.2414	24195025.1379
Business Services	2242	3411440.67797	1913972.76539
Mining & Quarrying	52	5507692.30769	3449021.34615
Manufacturing (Textiles)	1121	35439072.7038	26422810.6186
Electricity, Gas & Water companies	156	1967384294.87	818329567.372
Manufacturing (Leather & products thereof)	77	6850000.0	5010295.71429
Manufacturing (Others)	120	8490833.33333	6259343.58333
Manufacturing (Machinery & Equipments)	995	12018723.6191	8065621.40969
Construction	1059	6881992.35127	4097487.22852
Trading	2004	15738728.3832	8549778.8009
Manufacturing (Wood Products)	58	5463793.10345	4375122.41379
NA	408	464890698.333	22480648.2863
Manufacturing (Metals & Chemicals, and products thereof)	1932	75683974.6387	51392761.4291
Agriculture and Allied Activities	441	6782244.89796	4765508.66213
Community, personal & Social Services	943	4113763.52068	2498107.73888
Real Estate and Renting	1202	7632699.66722	4475190.36273
Insurance	4	1325000.0	1300000.0
Finance	899	16555677.4194	12820382.8738
