activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Textiles)	1463	13410200.9569	8860277.26726
Real Estate and Renting	3005	3124495.50749	2010295.67055
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	282	5025744.68085	2576825.10638
Transport, storage and Communications	948	289375991.561	41022175.5443
Business Services	4416	2211200.23777	1332753.55888
Mining & Quarrying	2959	5098420.58128	3623323.06827
NA	248	11265705.6452	9168743.83065
Electricity, Gas & Water companies	375	988998144.88	497552721.667
Manufacturing (Food stuffs)	1019	8674954.98037	5748308.71933
Manufacturing (Others)	738	10947056.9106	8368698.10298
Manufacturing (Machinery & Equipments)	1294	11533725.6569	8417795.52241
Construction	5682	4942729.84864	3567869.88648
Trading	4703	3435664.36317	2588903.35594
Manufacturing (Wood Products)	88	4388522.72727	3251177.15909
Manufacturing (Leather & products thereof)	46	12938043.4783	9973761.30435
Manufacturing (Metals & Chemicals, and products thereof)	3306	34248379.0079	15222371.3165
Agriculture and Allied Activities	824	3775367.47573	2333577.30583
Community, personal & Social Services	1971	3466671.74023	2209191.23041
Insurance	5	802061000.0	517445300.0
Finance	1202	13454841.0982	6956235.48253
