activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Textiles)	3350	34216070.0448	24337112.5475
Real Estate and Renting	2960	18614840.5405	13658532.5956
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	1026	19517607.1791	13348110.451
Transport, storage and Communications	2911	94484166.9529	55721797.775
Business Services	19349	18828517.5127	8743272.94782
Mining & Quarrying	658	28502598.7842	19025770.8207
NA	707	129654154.173	35763523.3876
Electricity, Gas & Water companies	1509	250387100.729	190743645.412
Manufacturing (Food stuffs)	1553	32894491.3071	21115470.7618
Manufacturing (Others)	618	16531796.1165	11209017.856
Manufacturing (Machinery & Equipments)	4542	179312260.37	112082591.845
Construction	5649	30583016.4436	19768705.8761
Trading	7293	20673422.7949	15050339.8068
Manufacturing (Wood Products)	141	7960283.68794	5497815.11348
Manufacturing (Leather & products thereof)	410	20706463.4146	15682561.6976
Manufacturing (Metals & Chemicals, and products thereof)	4961	53339391.1288	37623314.6001
Agriculture and Allied Activities	2322	16356997.5452	7789760.38372
Community, personal & Social Services	4526	35086442.3131	23953306.3149
Insurance	49	165289795.918	140780095.918
Finance	4548	126731616.708	69502201.5536
