activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	10	2720000.0	190500.0
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	4	2062500.0	637500.0
Transport, storage and Communications	11	26463636.3636	13606909.0909
Business Services	31	2303225.80645	308516.129032
Mining & Quarrying	1	1000000.0	1000000.0
Manufacturing (Textiles)	2	360000000.0	200149900.0
Electricity, Gas & Water companies	6	5169750000.0	2678706506.67
Manufacturing (Food stuffs)	11	7463636.36364	3151272.72727
Manufacturing (Machinery & Equipments)	2	6250000.0	2500000.0
Construction	18	8077777.77778	5461527.77778
Trading	40	8730000.0	4315582.5
Manufacturing (Wood Products)	4	1775000.0	425000.0
Manufacturing (Metals & Chemicals, and products thereof)	23	15264782.6087	5526336.95652
Agriculture and Allied Activities	15	43553333.3333	36887094.3333
Community, personal & Social Services	14	65821428.5714	45738650.0
Insurance	1	100000.0	100000.0
Finance	14	3535714.28571	2216921.42857
