activity	number_of_companies	authorised_capital	paidup_capital
Real Estate and Renting	6456	4116228.31475	2286283.69966
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	772	10957610.1036	8363703.25826
Finance	1700	35982178.8235	21115236.9818
Business Services	12617	10872445.7494	7073424.66838
Mining & Quarrying	263	124655585.551	35160021.8631
Manufacturing (Textiles)	949	20368926.5543	11976558.632
Electricity, Gas & Water companies	276	1442705913.04	665432751.902
Manufacturing (Food stuffs)	2318	27329203.9258	19538323.1774
NA	230	71229565.2174	38519719.4054
Manufacturing (Others)	347	10663112.4496	6905356.34006
Manufacturing (Machinery & Equipments)	1429	725322092.652	395386497.041
Construction	6876	9188115.18325	5166824.00247
Trading	3794	7490401.15973	5314887.55074
Manufacturing (Wood Products)	106	6536792.45283	4621239.15094
Manufacturing (Leather & products thereof)	357	13122549.0196	8439721.72269
Manufacturing (Metals & Chemicals, and products thereof)	3527	19795659.484	9634967.36653
Agriculture and Allied Activities	1303	6114654.64313	3660638.58689
Community, personal & Social Services	3732	20609489.6838	6699099.89838
Insurance	89	1974831.46067	1013035.73034
Transport, storage and Communications	938	37948102.3454	2987142.75053
