activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Textiles)	2901	21466344.9087	8990443.24209
Real Estate and Renting	16823	12427713.6926	6082590.41366
Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)	1095	13680429.2237	8732251.44658
Transport, storage and Communications	2805	20362879.5009	9038894.39216
Business Services	21362	8599956.26065	3897089.52462
Mining & Quarrying	803	142433161.893	95488425.1519
NA	361	319472051.247	20439909.097
Electricity, Gas & Water companies	518	799243108.108	296536232.886
Manufacturing (Food stuffs)	2745	46140726.9508	14554356.5044
Manufacturing (Others)	721	25532038.9736	11105670.8322
Manufacturing (Machinery & Equipments)	3179	35469190.7204	16094884.5355
Construction	12092	11360882.1535	6977303.13993
Trading	50888	9929782.13724	4977023.52523
Manufacturing (Wood Products)	356	37978169.9438	8687590.53652
Manufacturing (Leather & products thereof)	443	25149063.2054	8112205.81038
Manufacturing (Metals & Chemicals, and products thereof)	7677	62558101.313	36163374.4567
Agriculture and Allied Activities	3123	13609643.6087	7699433.55112
Community, personal & Social Services	3613	15094418.3969	6641578.7013
Insurance	69	27047826.087	24479576.3768
Finance	5598	43723929.975	18095848.9962
